Date,Open,High,Low,Close,Volume,Adj Close
2015-03-31,54.25,54.45,53.4,54.15,9166100,52.99651
2015-03-30,53.2,54.15,53.2,53.9,5455000,52.75184
2015-03-27,53.3,53.8,52.6,53.6,4688800,52.45823
2015-03-26,52.55,53.4,52.35,53.3,4415100,52.16462
2015-03-25,52.4,52.95,52.05,52.65,6333500,51.52847
2015-03-24,52.45,52.7,51.95,52.1,5896800,50.99018
2015-03-23,53,53.25,52.45,52.7,12015700,51.5774
2015-03-20,51.85,53.25,51.65,53,13597300,51.87101
2015-03-19,51.35,53.15,51,53,14185600,51.87101
2015-03-18,49.95,51.6,49.5,50.75,8547000,49.66894
2015-03-17,50.65,50.9,49.65,49.75,10836000,48.69024
2015-03-16,52.3,52.3,50.6,50.75,13810700,49.66894
2015-03-13,53.55,53.55,52.35,52.5,6374800,51.38166
2015-03-12,53.75,53.95,52.95,53.1,4870500,51.96888
2015-03-11,53.5,54.05,53.1,53.8,3707200,52.65396
2015-03-10,54.85,54.85,53.55,53.6,5059600,52.45823
2015-03-09,54.15,54.55,54.15,54.45,3914200,53.29012
2015-03-06,55.5,55.95,54.85,55,5274200,53.8284
2015-03-05,56.6,56.6,54.55,54.9,7497200,53.73054
2015-03-04,57.25,57.25,56,56.25,4404400,55.05178
2015-03-03,56.95,57.25,56.2,56.8,4703300,55.59006
2015-03-02,57.5,57.5,56.1,56.45,6143800,55.24752
2015-02-27,58.15,58.45,56.5,56.55,11067700,55.34539
2015-02-26,58.85,59.4,58.1,58.25,6707200,57.00917
2015-02-25,60.7,60.7,59,59.1,3627300,57.84106
2015-02-24,60.7,60.7,59.45,59.6,2315100,58.33041
2015-02-23,60.6,60.8,60,60.45,3198700,59.16231
2015-02-20,59.8,59.8,59.8,59.8,0,58.52615
2015-02-19,59.8,59.8,59.8,59.8,0,58.52615
2015-02-18,59.8,60.5,59.6,59.8,2114400,58.52615
2015-02-17,60.3,60.75,59.25,59.35,4165100,58.08574
2015-02-16,59.9,60.7,59.9,60.3,2635000,59.0155
2015-02-13,60,60.45,59.65,59.9,3682500,58.62403
2015-02-12,59.95,59.95,58.6,59,3125000,57.7432
2015-02-11,60.3,60.5,59.4,59.65,3325000,58.37935
2015-02-10,60.3,60.85,59.3,60.7,3529600,59.40699
2015-02-09,61,61.1,59.7,59.8,3875100,58.52615
2015-02-06,62.5,62.5,61.2,61.45,2095600,60.14101
2015-02-05,62.3,62.75,61.7,61.95,2455600,60.63036
2015-02-04,62,62.4,61.35,61.7,3492700,60.38568
2015-02-03,62.55,63,60.45,61.25,6465000,59.94527
2015-02-02,62.95,63.5,62.3,62.8,3391500,61.46225
2015-01-30,62.8,63.9,62.7,63,5692500,61.65799
2015-01-29,62.4,62.8,62.3,62.7,2379700,61.36438
2015-01-28,62,62.9,61.6,62.5,4210700,61.16864
2015-01-27,61.85,62,61.5,61.55,2362000,60.23888
2015-01-26,62,62,60.9,61.25,1790500,59.94527
2015-01-23,60.95,61.75,60.8,61.7,3423700,60.38568
2015-01-22,60.1,60.9,59.55,60.55,1752500,59.26018
2015-01-21,59.75,60.5,59.35,60.4,2853600,59.11338
2015-01-20,59.2,60,59,59.35,1969700,58.08574
2015-01-19,60,60,58.8,59.25,2623400,57.98787
2015-01-16,60.05,60.75,60.05,60.1,2769300,58.81976
2015-01-15,60.55,61.2,60.25,60.95,2898300,59.65166
2015-01-14,62,62,60.45,60.55,2555300,59.26018
2015-01-13,61,61.35,60.8,61.15,4251300,59.8474
2015-01-12,59.4,61.55,59.4,61,7530100,59.70059
2015-01-09,58.75,59.45,58.3,59.35,7973000,58.08574
2015-01-08,58.5,58.5,57.4,58.2,5053200,56.96024
2015-01-07,57.5,57.6,56.05,57.1,7555400,55.88367
2015-01-06,56.7,57.15,56.4,57,4687500,55.7858
2015-01-05,56.7,58.2,56.5,57.75,4496300,56.51982
2015-01-02,56.5,57.5,56.1,57.25,3757900,56.03048
2015-01-01,56,56,56,56,0,54.8071
2014-12-31,56.6,56.65,55.9,56,1512400,54.8071
2014-12-30,56.8,56.95,55.85,56.2,2353600,55.00284
2014-12-29,56,56.65,55.9,56.25,3644100,55.05178
2014-12-26,55.6,55.6,55.6,55.6,0,54.41562
2014-12-25,55.6,55.6,55.6,55.6,0,54.41562
2014-12-24,55.35,55.65,55.35,55.6,1768700,54.41562
2014-12-23,55.05,55.65,55.05,55.35,2055000,54.17095
2014-12-22,55,55.45,55,55.3,3021900,54.12201
2014-12-19,54.5,55.05,54.45,54.9,3515500,53.73054
2014-12-18,54.2,54.6,54.1,54.4,4090600,53.24119
2014-12-17,55,55.1,54,54.4,5228800,53.24119
2014-12-16,55.25,55.75,54.35,54.85,3427300,53.6816
2014-12-15,54.55,55.5,54.35,55.2,3503600,54.02414
2014-12-12,54.05,55.9,54.05,55.4,7903700,54.21988
2014-12-11,54.5,54.7,54.05,54.25,4899300,53.09438
2014-12-10,54.6,55.9,54.6,55.05,3610500,53.87734
2014-12-09,54.85,55.65,54.7,55.1,3024000,53.92627
2014-12-08,56,56,55.35,55.65,3819600,54.46456
2014-12-05,55.1,55.8,54.9,55.2,9510700,54.02414
2014-12-04,55.15,55.45,54.9,55,3704800,53.8284
2014-12-03,55.3,55.85,54.7,54.8,6672200,53.63266
2014-12-02,55.85,55.95,54.7,54.95,5628300,53.77947
2014-12-01,55.65,55.9,54.65,54.75,10037300,53.58373
2014-11-28,56.9,56.9,55.8,55.95,2620700,54.75817
2014-11-27,56.6,56.95,56.25,56.45,2502200,55.24752
2014-11-26,56,56.95,55.9,56.6,3490000,55.39432
2014-11-25,56.2,57.55,55.95,56.2,4966300,55.00284
2014-11-24,55.9,57.5,55.9,56.05,4501500,54.85604
2014-11-21,54.75,55.3,54.75,55.15,1826500,53.97521
2014-11-20,55.45,55.45,54.8,55,3103400,53.8284
2014-11-19,55.05,55.75,54.85,55,2520800,53.8284
2014-11-18,55.2,55.45,54.8,54.9,4003300,53.73054
2014-11-17,55.85,56.2,55.25,55.5,2351300,54.31775
2014-11-14,56.1,56.1,55.6,55.8,1769900,54.61136
